question;answer;classifier_1;classifier_2;is_knowledge_base
Что означает регистрация и/или авторизация в RUTUBE посредством ЕСИА?;Это означает согласие Пользователя с Условиями использования ЕСИА.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Для каких аккаунтов доступна авторизация посредством ЕСИА?;Авторизация посредством ЕСИА доступна только для аккаунтов физических лиц в RUTUBE.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Кто отвечает за разрешение вопросов по выплате отчислений на RUTUBE?;Пользователь обязуется самостоятельно и за свой счет разрешать все вопросы по выплате отчислений.;ОТСУТСТВУЕТ;Отсутствует;1
Что происходит, если законодательство Территории предусматривает выплаты по коллективному управлению правами?;Пользователь обязан самостоятельно разрешать все вопросы по выплате таких отчислений.;ОТСУТСТВУЕТ;Отсутствует;1
Какие разрешения должен иметь Пользователь согласно Генеральному пользовательскому соглашению RUTUBE?;Пользователь должен получить все необходимые разрешения на выплаты в пользу организаций по управлению правами на коллективной основе.;ОТСУТСТВУЕТ;Отсутствует;1
Кто должен урегулировать претензии к Администрации от государственных органов и третьих лиц в связи с размещением Контента?;Пользователь должен урегулировать претензии самостоятельно и за свой счет.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Какие обязанности несет Пользователь в случае претензий к Администрации по поводу размещенного контента?;Пользователь полностью за свой счет несет ответственность перед лицами, права которых нарушены.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Что может сделать RUTUBE при нарушении запрета, установленного в подпункте Соглашения?;RUTUBE может безапелляционно заблокировать Единицу Контента за нарушение установленного в настоящем подпункте Соглашения запрета.;МОДЕРАЦИЯ;Запрещенный контент;1
Какие права предоставляются пользователю согласно п. 2.1 Генерального пользовательского соглашения RUTUBE?;Пользователю предоставляется безвозмездно неотчуждаемое и непередаваемое право некоммерческого использования RUTUBE на условиях простой неисключительной лицензии.;ОТСУТСТВУЕТ;Отсутствует;1
На какой территории действуют права, предоставленные пользователю по Генеральному пользовательскому соглашению RUTUBE?;Права действуют на территории стран всего мира.;ОТСУТСТВУЕТ;Отсутствует;1
В каком виде пользователь может использовать RUTUBE согласно п. 2.1 Генерального пользовательского соглашения?;Пользователь может использовать RUTUBE в неизменном виде.;ОТСУТСТВУЕТ;Отсутствует;1
Какие действия может совершать пользователь после прохождения процедуры регистрации на RUTUBE?;После прохождения процедуры регистрации пользователь получает право комментирования единиц контента (если такой функционал доступен).;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Что включает в себя термин 'Контент' согласно п. 2.1.1 Генерального пользовательского соглашения RUTUBE?;Контент включает в себя Пользовательский контент и/или Правообладательский контент.;ОТСУТСТВУЕТ;Отсутствует;1
Какие материалы запрещено размещать на RUTUBE?;На RUTUBE запрещено размещать материалы, содержащие расовую или межнациональную рознь, порнографию, сцены насилия, жестокого обращения с животными и др.;МОДЕРАЦИЯ;Запрещенный контент;1
Кто несет ответственность за размещение Эмбеда за пределами RUTUBE?;Пользователь несет ответственность за размещение Эмбеда за пределами RUTUBE.;ВИДЕО;Встраивание видео;1
Какую ответственность несет Пользователь за действия, связанные с использованием RUTUBE?;Пользователь самостоятельно несет ответственность перед посетителями Интернет-сайта, на котором размещает Эмбед, и перед третьими лицами за все свои действия, связанные с использованием функционала RUTUBE.;ВИДЕО;Встраивание видео;1
Что происходит с данными о посещениях Интернет-сайта Пользователя после размещения Эмбеда?;Эмбед может собирать анонимные и обезличенные данные о посещениях Интернет-сайта Пользователя и передавать их в автоматическом режиме Администрации для хранения обобщенной статистической информации.;ВИДЕО;Встраивание видео;1
На каких основаниях должен действовать Пользователь, Автор или Партнер согласно 'Условиям размещения контента' на RUTUBE?;Пользователь, Автор, Партнер должен действовать на законных основаниях, например, по доверенности.;МОДЕРАЦИЯ;Запрещенный контент;1
Какими правами должен обладать Пользователь, Автор или Партнер для использования контента на RUTUBE?;Пользователь, Автор, Партнер должен обладать всеми необходимыми правами использовать Контент, включая разрешение его использования в соответствии с условиями настоящего Соглашения.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Какие права и интересы третьих лиц не должны нарушать действия Пользователя, Автора или Партнера?;Действия не должны нарушать авторские, смежные, патентные права, право на неприкосновенность частной жизни, на защиту чести, достоинства и доброго имени, право на изображение гражданина и другие законные права и интересы третьих лиц.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Какое законодательство должны соблюдать Пользователь, Автор или Партнер при размещении и использовании контента на RUTUBE?;Они должны соблюдать действующее российское законодательство, включая законодательство о правах на результаты интеллектуальной деятельности и средства индивидуализации.;МОДЕРАЦИЯ;Запрещенный контент;1
Кто несет ответственность за размещение и использование контента на RUTUBE?;Пользователь, Автор или Партнер несет всю ответственность за размещение и использование контента.;МОДЕРАЦИЯ;Запрещенный контент;1
Какие элементы профиля пользователя на RUTUBE имеют общие требования?;Наименование Профиля, Канала, Стрима Пользователя, аватар, бэкграунд, баннеры, ссылки, текст в разделе информации о канале, а также любые Материалы, Информация, Контент.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
На основании чего предъявляются требования к элементам профиля и контенту пользователя на RUTUBE?;Требования предъявляются в соответствии с настоящим Соглашением и действующим законодательством Российской Федерации.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Какая информация должна перлюстрироваться Администрацией RUTUBE на предмет оскорбления человеческого достоинства?;Информация, выражающая в неприличной форме, которая может оскорблять человеческое достоинство и общественную нравственность, содержать явное неуважение к обществу, государству, официальным государственным символам Российской Федерации, Конституции Российской Федерации или органам, осуществляющим государственную власть в Российской Федерации.;МОДЕРАЦИЯ;Запрещенный контент;1
Какая информация должна перлюстрироваться Администрацией RUTUBE в контексте законодательства о выборах и референдумах?;Информация, которая может распространяться с нарушениями законодательства о выборах и референдумах, и (или) агитационных материалов.;МОДЕРАЦИЯ;Запрещенный контент;1
Какая информация должна перлюстрироваться Администрацией RUTUBE в контексте призывов к массовым беспорядкам или экстремистской деятельности?;Информация, содержащая призывы к массовым беспорядкам, осуществлению экстремистской деятельности, участию в массовых (публичных) мероприятиях, проводимых с нарушением установленного порядка.;МОДЕРАЦИЯ;Запрещенный контент;1
Какая недостоверная информация должна перлюстрироваться Администрацией RUTUBE?;Недостоверная общественно значимая информация, распространяемая под видом достоверных сообщений, которая создает угрозу причинения вреда жизни и (или) здоровью граждан, имуществу, угрозу массового нарушения общественного порядка и (или) общественной безопасности либо угрозу создания помех функционированию или прекращения функционирования объектов жизнеобеспечения, транспортной или социальной инфраструктуры, кредитных организаций, объектов энергетики, промышленности.;МОДЕРАЦИЯ;Запрещенный контент;1
Какие данные собирает Эмбед с момента его размещения на стороннем Интернет-ресурсе?;Эмбед собирает анонимные и обезличенные, не персональные данные о посещениях Интернет-сайта Пользователя и анонимные данные о самом Интернет-сайте Пользователя.;ВИДЕО;Встраивание видео;1
Передаются ли собранные Эмбед данные третьим лицам?;Нет, собранные данные не передаются третьим лицам.;ВИДЕО;Встраивание видео;1
Для чего Администрация использует собранные Эмбед данные?;Для хранения обобщенной статистической информации и дальнейшего использования в собственных целях.;ВИДЕО;Встраивание видео;1
Доступна ли статистическая информация, собранная Эмбед, Пользователю?;Нет, такая статистическая информация недоступна Пользователю.;ВИДЕО;Встраивание видео;1
Какие действия вправе предпринимать Администрация в отношении слов и выражений, сопровождающих Информацию и Контент?;Администрация вправе осуществлять замену либо удаление слов и выражений, сопровождающих Информацию и Контент, размещенных Пользователем.;МОДЕРАЦИЯ;Запрещенный контент;1
В каких случаях Администрация может заменить или удалить слова и выражения, сопровождающие Информацию и Контент?;Если слова и выражения можно счесть оскорбительными, нарушающими права третьих лиц или нормы действующего законодательства Российской Федерации.;МОДЕРАЦИЯ;Запрещенный контент;1
Где можно найти Политику конфиденциальности RUTUBE?;Политика конфиденциальности RUTUBE размещена в сети Интернет по адресу: https://rutube.ru/info/privacy/.;ОТСУТСТВУЕТ;Отсутствует;1
Где опубликована Политика Cookies RUTUBE?;Политика Cookies размещена в сети Интернет по адресу: https://rutube.ru/info/cookies/.;ОТСУТСТВУЕТ;Отсутствует;1
Какие действия может предпринять Администрация RUTUBE по отношению к эмбед-ссылкам на других интернет-сайтах?;Администрация вправе заблокировать (сделать недоступной) такую эмбед-ссылку.;ВИДЕО;Встраивание видео;1
Какие гарантии не предоставляет Администрация RUTUBE при размещении эмбедов за пределами RUTUBE?;Администрация не может гарантировать, что факт размещения эмбеда за пределами RUTUBE не нарушает законодательство места пребывания Пользователя.;ВИДЕО;Встраивание видео;1
Какие данные могут собираться при использовании эмбедов за пределами RUTUBE?;Могут собираться анонимные и обезличенные данные о посещениях интернет-сайта Пользователя, а также анонимные и обезличенные данные о самом интернет-сайте Пользователя.;ВИДЕО;Встраивание видео;1
На чей страх и риск осуществляется использование эмбедов за пределами RUTUBE?;Использование эмбедов осуществляется на страх и риск Пользователя.;ВИДЕО;Встраивание видео;1
Кто несет ответственность за действия, связанные с использованием эмбедов за пределами RUTUBE?;Пользователь несет ответственность перед посетителями интернет-сайта, на котором он размещает эмбед, а также за все свои действия, связанные с использованием функционала RUTUBE.;ВИДЕО;Встраивание видео;1
Кто принимает решение об интеграции интерфейса Личного кабинета Пользователя с Монетизационными Интеграторами?;Администрация принимает решение об интеграции по единоличному усмотрению.;ПРЕДЛОЖЕНИЯ;Монетизация;1
Какой статус должен иметь Пользователь, чтобы его интерфейс мог быть интегрирован с Монетизационными Интеграторами?;Пользователь должен иметь статус «Партнер» в RUTUBE.;ПРЕДЛОЖЕНИЯ;Монетизация;1
Где можно найти подробное описание процедуры интеграции с Монетизационными Интеграторами?;Подробное описание процедуры интеграции приведено в Приложении «Г» к Соглашению, размещенном по адресу: https://rutube.ru/info/donate_agreement/.;ПРЕДЛОЖЕНИЯ;Монетизация;1
Выплачивается ли вознаграждение за загруженный Контент по общему правилу?;Нет, по общему правилу вознаграждение за загруженный Контент не выплачивается, если иное не предусмотрено в Соглашении или Обязательных документах.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;1
Может ли правило о невыплате вознаграждения не применяться?;Да, правило о невыплате вознаграждения может не применяться к Пользователям с подтвержденным статусом «Партнер» по усмотрению Администрации.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;1
На каких основаниях определяются условия участия в партнерской программе и выплаты вознаграждения?;Условия участия в партнерской программе и выплаты вознаграждения определяются на основании дополнительных соглашений между Партнером и Администрацией.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;1
Что должно произойти для подключения авторского Канала к программе монетизации RUTUBE?;Для подключения авторского Канала к программе монетизации RUTUBE должны наступить основания для подачи заявки на присвоение статуса Партнера.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;1
Кому передаются данные в автоматическом режиме?;Администрации.;ОТСУТСТВУЕТ;Отсутствует;1
Для чего передаются данные Администрации?;Для хранения обобщенной статистической информации, доступной для дальнейшего использования Администрацией в его собственных целях.;ОТСУТСТВУЕТ;Отсутствует;1
Доступна ли статистическая информация пользователю?;Нет, такая статистическая информация недоступна Пользователю.;ОТСУТСТВУЕТ;Отсутствует;1
Передается ли статистическая информация третьим лицам?;Нет, статистическая информация не передается третьим лицам.;ОТСУТСТВУЕТ;Отсутствует;1
Получает ли Администрация RUTUBE финансовую информацию о Пользователях?;Администрация не получает финансовую информацию о Пользователях.;ОТСУТСТВУЕТ;Отсутствует;1
Кто обрабатывает финансовую информацию Пользователей на RUTUBE?;Финансовая информация собирается и обрабатывается платежными посредниками, указанными в RUTUBE.;ОТСУТСТВУЕТ;Отсутствует;1
Какие элементы профиля пользователя на RUTUBE подлежат общим требованиям?;Наименование Профиля, Канала, Стрима Пользователя, аватар, бэкграунд, баннеры, ссылки и текст в разделе информации о канале.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Какие требования предъявляются к информации и контенту, размещаемым пользователем на RUTUBE?;Общие требования в соответствии с Соглашением и действующим законодательством Российской Федерации, в том числе требования, предъявляемые к Информации и Контенту Пользователя.;МОДЕРАЦИЯ;Запрещенный контент;1
Какие права предоставляет Администрация Пользователю на RUTUBE?;Администрация предоставляет право на размещение информации о себе, включая имя, логотипы, товарные знаки, краткую информацию об Информации и Контенте, ссылки на официальный сайт, изображения и аватар.;ОТСУТСТВУЕТ;Отсутствует;1
В каких случаях информация, размещаемая Пользователем, не будет считаться рекламой?;Информация не будет считаться рекламой, если она не нарушает прочие условия настоящего Соглашения и размещается исключительно для идентификации Пользователя на RUTUBE как Автора/Правообладателя.;ОТСУТСТВУЕТ;Отсутствует;1
Что подтверждает Пользователь, принимая Генеральное пользовательское соглашение RUTUBE?;Пользователь подтверждает осведомленность и безоговорочное согласие с тем, что размещаемая на Персональной странице информация, включая имя и видеоматериалы, является предоставленной им.;ОТСУТСТВУЕТ;Отсутствует;1
Каким образом RUTUBE может связываться с пользователем?;RUTUBE может связываться с пользователем на адрес электронной почты, номер мобильного телефона, а также через другие каналы коммуникации, указанные пользователем при регистрации или дополнительно в Личном кабинете.;ОТСУТСТВУЕТ;Отсутствует;1
Какие сообщения не считаются рекламой согласно Генеральному пользовательскому соглашению RUTUBE?;Нотификационные и/или сервисные сообщения, направляемые пользователю от имени Администрации оператором связи по сети подвижной радиотелефонной связи, не считаются рекламой.;МОНЕТИЗАЦИЯ;Подключение/отключение рекламы;1
Может ли RUTUBE отправлять служебные сообщения без получения дополнительных согласий пользователя?;Да, RUTUBE вправе направлять пользователю служебные сообщения без получения дополнительных согласий.;ОТСУТСТВУЕТ;Отсутствует;1
Что включают в себя служебные сообщения Администрации RUTUBE?;Служебные сообщения включают нотификационные и/или сервисные сообщения, передаваемые оператором связи, и могут содержать коды, пароли, а также различные информационные сообщения.;ОТСУТСТВУЕТ;Отсутствует;1
Может ли RUTUBE отправлять ответы на запросы пользователя без ограничений?;Да, RUTUBE вправе направлять ответы на запросы пользователя без каких-либо ограничений.;ОТСУТСТВУЕТ;Отсутствует;1
Кто несет ответственность за доступность контента, ссылки на который размещены в RUTUBE?;Администрация не несет ответственность за доступность Пользователю Контента, ссылки на который размещены в RUTUBE, согласно п. 4.22 Генерального пользовательского соглашения RUTUBE.;ВИДЕО;Недоступность видео;1
Несет ли Администрация ответственность за соответствие контента ожиданиям пользователя?;Нет, Администрация не несет ответственность за соответствие Контента ожиданиям Пользователя согласно п. 4.22 Генерального пользовательского соглашения RUTUBE.;МОДЕРАЦИЯ;Запрещенный контент;1
За какие элементы и части контента Администрация RUTUBE не несет ответственность?;Администрация не несет ответственность за содержание Контента, включая любой текст, графику, звук, программный код и любые иные элементы и части Контента, согласно п. 4.22 Генерального пользовательского соглашения RUTUBE.;МОДЕРАЦИЯ;Запрещенный контент;1
Кто несет ответственность за рекламные материалы, размещенные правообладателем контента не на RUTUBE?;Администрация не несет ответственность за любые рекламные материалы, размещенные Правообладателем Контента не на RUTUBE, но, возможно, отображаемые на RUTUBE, согласно п. 4.22 Генерального пользовательского соглашения RUTUBE.;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;1
Какое уведомление Администрация RUTUBE не несет ответственности?;Администрация не несет ответственности за уведомления об авторских и смежных правах согласно п. 4.22 Генерального пользовательского соглашения RUTUBE.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Кто может использовать RUTUBE несовершеннолетними лицами?;Несовершеннолетние лица могут использовать RUTUBE только под контролем опекунов, достигших 18 лет, или с их согласия, с соблюдением законодательства РФ и Соглашения.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
Может ли пользователь, достигший 18-летнего возраста, предоставлять несовершеннолетним доступ к контенту для взрослых?;Нет, пользователь, достигший 18-летнего возраста, не предоставляет несовершеннолетним доступ к разделам RUTUBE или контенту, предназначенному для совершеннолетних.;МОДЕРАЦИЯ;Смена категории/возрастные ограничения;1
Что обязаны делать лица, не достигшие 18-летнего возраста, при использовании RUTUBE?;Лица, не достигшие 18-летнего возраста, обязаны воздерживаться от просмотра контента для совершеннолетних и получить разрешение от родителей или законных представителей.;МОДЕРАЦИЯ;Смена категории/возрастные ограничения;1
Какие обязанности у пользователя при размещении контента с возрастными ограничениями на RUTUBE?;Пользователь должен сопроводить контент маркировкой о наличии возрастных ограничений или иным образом указать на данные ограничения к просмотру.;МОДЕРАЦИЯ;Смена категории/возрастные ограничения;1
Как можно указать возрастные ограничения для контента на RUTUBE?;Возрастные ограничения можно указать любым доступным способом, в том числе способом, предусмотренным RUTUBE, если такой функционал доступен пользователю.;МОДЕРАЦИЯ;Смена категории/возрастные ограничения;1
Несет ли администрация RUTUBE ответственность за корректность установления возрастных ограничений для контента?;Нет, администрация не несет ответственности за корректность установления возрастного ограничения пользователем.;МОДЕРАЦИЯ;Смена категории/возрастные ограничения;1
Что может пользователь удалить на RUTUBE?;Пользователь вправе частично или полностью удалить Информацию и/или Контент, размещенные им непосредственно на RUTUBE.;УПРАВЛЕНИЕ АККАУНТОМ;Удаление аккаунта;1
Как пользователь может удалить информацию на RUTUBE?;Пользователь может удалить информацию посредством Сайта в рамках своей Персональной страницы.;УПРАВЛЕНИЕ АККАУНТОМ;Удаление аккаунта;1
Где приведены основные условия по популяризации и продвижению на RUTUBE?;Основные условия приведены в Приложении «В».;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;1
Является ли Приложение «В» обязательным для ознакомления и акцептования Пользователем?;Да, Приложение «В» является обязательным для ознакомления и акцептования Пользователем.;СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА;Продвижение канала;1
Какую возможность имеет пользователь в отношении заблокированного контента на RUTUBE?;Пользователь вправе направить запрос о предоставлении доступа к заблокированному Контенту Пользователя для его перемещения на внешние источники.;МОДЕРАЦИЯ;Блокировка канала;1
В какие сроки пользователь должен направить запрос о доступе к заблокированному контенту?;Запрос должен быть направлен не позднее 30 календарных дней с даты получения ответа Администрации, полученного в порядке п. 5.16 Соглашения.;МОДЕРАЦИЯ;Блокировка канала;1
Какие данные должен указать пользователь в запросе о доступе к заблокированному контенту?;Пользователь обязуется указать информацию, перечисленную в п. 5.15.1 Соглашения, с приложением копий указанных в этом пункте документов.;МОДЕРАЦИЯ;Блокировка канала;1
Какой адрес электронной почты должен использовать пользователь для направления запроса?;Пользователь обязуется использовать адрес электронной почты, указанный в профиле Учетной записи RUTUBE.;МОДЕРАЦИЯ;Блокировка канала;1
Сколько раз может быть предоставлен доступ к заблокированному контенту по запросу пользователя?;Доступ может быть предоставлен однократно.;МОДЕРАЦИЯ;Блокировка канала;1
Какой контент может быть предоставлен по запросу пользователя?;Доступ может быть предоставлен только в отношении контента, который не нарушает прямых.;МОДЕРАЦИЯ;Блокировка канала;1
Когда RUTUBE может вводить процедуры предварительного одобрения добавления контента?;При ранее зафиксированных Администрацией нарушениях Пользователем/ Автором/ Партнером условий Соглашения.;МОДЕРАЦИЯ;Долгая модерация;1
Может ли RUTUBE вводить процедуры выявления фактов нарушений условий Соглашения?;Да, в любой момент времени, в том числе в отношении ранее размещенного Контента.;МОДЕРАЦИЯ;Запрещенный контент;1
Может ли пользователь отказаться от получения уведомлений и сообщений от Администрации?;Пользователь вправе отказаться от получения некоторых уведомлений и сообщений Администрации, когда RUTUBE предоставляет такую возможность.;ОТСУТСТВУЕТ;Отсутствует;1
Что вправе делать администрация RUTUBE с файлами Контента Автора/Партнера?;Администрация вправе осуществлять конвертацию файлов в различные цифровые и/или электронные форматы исключительно с целью обеспечения их совместимости с Устройствами Пользователей и пригодности для использования в рамках RUTUBE.;ОТСУТСТВУЕТ;Отсутствует;1
Какие технические манипуляции может производить администрация RUTUBE с Контентом?;Администрация может производить оцифровку, кодирование, агрегирование, сжатие, индексирование и увязывание с Контентом любых соответствующих метаданных.;ОТСУТСТВУЕТ;Отсутствует;1
Является ли конвертация файлов внесением изменений в передаваемый Контент?;Нет, конвертация файлов не является внесением изменений/исправлений в Контент или действиями, влияющими на его целостность.;ОТСУТСТВУЕТ;Отсутствует;1
С какой целью администрация вправе использовать Контент иными способами?;Целью является обеспечение функционирования RUTUBE в объеме, определяемом функционалом и архитектурой RUTUBE.;ОТСУТСТВУЕТ;Отсутствует;1
Какие действия пользователя RUTUBE создают договор на условиях Генерального пользовательского соглашения?;Регистрация и/или авторизация в RUTUBE, доступ к RUTUBE с использованием Мобильного приложения, иное использование функциональных возможностей RUTUBE.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
На основании каких статей Гражданского кодекса Российской Федерации создается договор при использовании RUTUBE?;На основании ст. 434, 435 и 437 Гражданского кодекса Российской Федерации.;ОТСУТСТВУЕТ;Отсутствует;1
Требуется ли бумажное оформление для оферты, чтобы она считалась действительной?;Нет, оферта действительна в электронном виде и не требует бумажного оформления.;ОТСУТСТВУЕТ;Отсутствует;1
Какие факторы могут повлиять на работу RUTUBE?;Погодные условия, перебои подачи электроэнергии, распространение вирусных компьютерных программ.;ОТСУТСТВУЕТ;Отсутствует;1
Что должен делать пользователь, если он не является автором или правообладателем контента на RUTUBE?;Пользователь должен самостоятельно согласовывать с правообладателями контента и рекламодателями, если их материалы отображаются по инициативе пользователя.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Освобождается ли администрация RUTUBE от выплаты авторского вознаграждения третьим лицам?;Да, администрация освобождена от выплаты авторского вознаграждения третьим лицам в связи с использованием контента, размещаемого пользователем.;МОДЕРАЦИЯ;Нарушение авторских прав;1
Что должен сделать пользователь, если рекламные материалы отображаются по его инициативе?;Пользователь должен получить соответствующее согласие администрации на такое размещение.;МОДЕРАЦИЯ;Нарушение авторских прав;1
